geoid,st_abbr,st_name,co_name,aland_m2,aland_ac,1995,2000,2001,2003,2004,2005,2010,2015
01001,AL,Alabama,Autauga,1539614693,380446.7397,5532.6,370.4,2057.6,4250.6,2551.8,3393.3,537.8,387
01003,AL,Alabama,Baldwin,4117605847,1017481.664,1737.3,14301.6,8407.8,11646.4,2729,4467,3371.3,5080.4
01005,AL,Alabama,Barbour,2292144656,566400.7789,1080.6,3052.8,1589.4,2510.3,3019,972.3,229.4,809.8
01007,AL,Alabama,Bibb,1612165763,398374.4837,269,111.7,10.1,42.4,1890.9,199.3,24.2,18.8
01009,AL,Alabama,Blount,1670079465,412685.2584,1810.1,1680.9,613.7,714.8,8633.4,882.3,126.9,3466.8
01011,AL,Alabama,Bullock,1613059168,398595.2487,3086.1,119.2,823.2,1302.1,2341.2,1306.4,248.5,189
01013,AL,Alabama,Butler,2011985458,497171.9946,491,979.1,2230.4,4758.5,666.7,1489.2,947.8,1481.8
01015,AL,Alabama,Calhoun,1569244078,387768.3137,2025.9,1156.2,835.4,566.5,3484.7,556,143.1,3709.4
01017,AL,Alabama,Chambers,1545009122,381779.731,222.7,138.7,10.6,44.4,4746.4,309.1,47.5,45.3
01019,AL,Alabama,Cherokee,1434228753,354405.3298,2582,1904.7,1137.5,1011.6,3913,1053.7,343.4,6046.6
01021,AL,Alabama,Chilton,1794478905,443425.0023,944.6,792.3,77.1,187.3,4995.1,601.8,60.2,36.5
01023,AL,Alabama,Choctaw,2365869837,584618.6517,174.8,601.7,352.9,377,189.3,104,34,62.8
01025,AL,Alabama,Clarke,3207494103,792588.3532,200.4,992.8,632.4,838.6,235.1,238.1,66.8,63.2
01027,AL,Alabama,Clay,1564253513,386535.1193,399.7,291.1,23.7,74.2,5635.1,300.4,7.9,7.4
01029,AL,Alabama,Cleburne,1450663938,358466.5489,1276.3,405.8,256.3,136.6,2514.3,148.2,37.6,1118.2
01031,AL,Alabama,Coffee,1758565927,434550.7201,1783.8,3828.1,4398,5744.3,4123.9,1325,829.9,2199
01033,AL,Alabama,Colbert,1534875463,379275.6515,1465.8,897.5,613.5,5470,2869,3628.1,37700.5,3469.3
01035,AL,Alabama,Conecuh,2201948618,544112.8722,729.7,3905.9,2955.4,6346.9,657.6,1478.1,560.4,402
01037,AL,Alabama,Coosa,1685850816,416582.4407,253.2,119.5,10.4,35.2,1694,152.1,3,1.9
01039,AL,Alabama,Covington,2668871125,659491.8344,933.5,2925.8,1950.6,1985.5,3495.4,916.2,335,1058.5
01041,AL,Alabama,Crenshaw,1576952826,389673.1851,1465,3373.1,2122.2,1743.2,2557.8,556.9,263.5,766.9
01043,AL,Alabama,Cullman,1903070708,470258.5975,3784.2,3155.3,2164,1401.3,13365.3,1824.9,426.3,7914.1
01045,AL,Alabama,Dale,1453311031,359120.6592,1266.6,1200.6,2915.9,3648.2,2816.8,755,317.4,981.8
01047,AL,Alabama,Dallas,2534863481,626377.8537,13064.8,522.3,2646.9,4728.2,5779.3,4214,2013.5,700
01049,AL,Alabama,DeKalb,2012676476,497342.7487,9893,10520.6,9053.7,4169.6,12290.7,6216.7,1141.3,31104
01051,AL,Alabama,Elmore,1601762124,395803.6908,5886.7,442.7,4070.3,5365.2,2665.9,3807.1,1060.6,590.9
01053,AL,Alabama,Escambia,2447822304,604869.5295,989.9,7176.3,5030.6,9619.7,2512.4,2078.2,1489.3,3621.4
01055,AL,Alabama,Etowah,1386383039,342582.4069,1490.5,1417.5,1034.3,819.2,4927.5,1117.3,211,7281.4
01057,AL,Alabama,Fayette,1625693280,401717.203,3206.8,2777.6,166.9,679.4,2834,2659.1,265,168.1
01059,AL,Alabama,Franklin,1641839976,405707.1349,1500.8,276.1,179.8,1261.9,3866.3,470.3,6676.4,444
01061,AL,Alabama,Geneva,1487870866,367660.5729,2754.5,5566.8,5891,7358.8,5146.6,1676.7,633.2,1877.9
