st_fip,co_fip,geiod,co_name,aland,st_abbr,st_name
1,1,01001,Autauga,1539614693,AL,Alabama
1,3,01003,Baldwin,4117605847,AL,Alabama
1,5,01005,Barbour,2292144656,AL,Alabama
1,7,01007,Bibb,1612165763,AL,Alabama
1,9,01009,Blount,1670079465,AL,Alabama
1,11,01011,Bullock,1613059168,AL,Alabama
1,13,01013,Butler,2011985458,AL,Alabama
1,15,01015,Calhoun,1569244078,AL,Alabama
1,17,01017,Chambers,1545009122,AL,Alabama
1,19,01019,Cherokee,1434228753,AL,Alabama
1,21,01021,Chilton,1794478905,AL,Alabama
1,23,01023,Choctaw,2365869837,AL,Alabama
1,25,01025,Clarke,3207494103,AL,Alabama
1,27,01027,Clay,1564253513,AL,Alabama
1,29,01029,Cleburne,1450663938,AL,Alabama
1,31,01031,Coffee,1758565927,AL,Alabama
1,33,01033,Colbert,1534875463,AL,Alabama
1,35,01035,Conecuh,2201948618,AL,Alabama
1,37,01037,Coosa,1685850816,AL,Alabama
1,39,01039,Covington,2668871125,AL,Alabama
1,41,01041,Crenshaw,1576952826,AL,Alabama
1,43,01043,Cullman,1903070708,AL,Alabama
1,45,01045,Dale,1453311031,AL,Alabama
1,47,01047,Dallas,2534863481,AL,Alabama
1,49,01049,DeKalb,2012676476,AL,Alabama
1,51,01051,Elmore,1601762124,AL,Alabama
1,53,01053,Escambia,2447822304,AL,Alabama
1,55,01055,Etowah,1386383039,AL,Alabama
1,57,01057,Fayette,1625693280,AL,Alabama
1,59,01059,Franklin,1641839976,AL,Alabama
1,61,01061,Geneva,1487870866,AL,Alabama
1,63,01063,Greene,1675782063,AL,Alabama
1,65,01065,Hale,1667907107,AL,Alabama
1,67,01067,Henry,1454926615,AL,Alabama
1,69,01069,Houston,1501807104,AL,Alabama
1,71,01071,Jackson,2791974087,AL,Alabama
1,73,01073,Jefferson,2877921069,AL,Alabama
1,75,01075,Lamar,1566544636,AL,Alabama
1,77,01077,Lauderdale,1730742958,AL,Alabama
1,79,01079,Lawrence,1788859207,AL,Alabama
1,81,01081,Lee,1573550101,AL,Alabama
1,83,01083,Limestone,1450278151,AL,Alabama
1,85,01085,Lowndes,1854201380,AL,Alabama
1,87,01087,Macon,1576801788,AL,Alabama
1,89,01089,Madison,2076145098,AL,Alabama
1,91,01091,Marengo,2530140238,AL,Alabama
1,93,01093,Marion,1922656984,AL,Alabama
1,95,01095,Marshall,1465528724,AL,Alabama
1,97,01097,Mobile,3184127436,AL,Alabama
1,99,01099,Monroe,2656517454,AL,Alabama
1,101,01101,Montgomery,2033764493,AL,Alabama
1,103,01103,Morgan,1500602270,AL,Alabama
1,105,01105,Perry,1863885725,AL,Alabama
1,107,01107,Pickens,2282893859,AL,Alabama
1,109,01109,Pike,1740647521,AL,Alabama
1,111,01111,Randolph,1503615934,AL,Alabama
1,113,01113,Russell,1660557977,AL,Alabama
1,115,01115,St. Clair,1636634176,AL,Alabama
1,117,01117,Shelby,2034107820,AL,Alabama
1,119,01119,Sumter,2340898915,AL,Alabama
1,121,01121,Talladega,1908251622,AL,Alabama
1,123,01123,Tallapoosa,1855771079,AL,Alabama
1,125,01125,Tuscaloosa,3421041792,AL,Alabama
1,127,01127,Walker,2048686077,AL,Alabama
