FIPS,FIPSTEXT,FarmLand_Ac
1001,01001,111471
1003,01003,192304
1005,01005,204471
1007,01007,56171
1009,01009,146091
1011,01011,164620
1013,01013,88497
1015,01015,81431
1017,01017,96208
1019,01019,124396
1021,01021,91346
1023,01023,68400
1025,01025,47555
1027,01027,77694
1029,01029,50185
1031,01031,202066
1033,01033,152848
1035,01035,93587
1037,01037,35826
1039,01039,208399
1041,01041,129761
1043,01043,194217
1045,01045,129643
1047,01047,254936
1049,01049,229275
1051,01051,90243
1053,01053,107062
1055,01055,85988
1057,01057,81147
1059,01059,150517
1061,01061,218758
1063,01063,120501
1065,01065,160326
1067,01067,169693
1069,01069,197799
1071,01071,231810
1073,01073,39113
1075,01075,82453
1077,01077,211699
1079,01079,244004
1081,01081,59103
1083,01083,246559
1085,01085,217637
1087,01087,103254
1089,01089,209315
1091,01091,165681
1093,01093,113549
1095,01095,162963
1097,01097,88910
1099,01099,140478
1101,01101,220119
1103,01103,152401
1105,01105,157056
1107,01107,102669
1109,01109,167318
1111,01111,114066
1113,01113,117355
1115,01115,67538
1117,01117,58306
1119,01119,240056
1121,01121,99966
1123,01123,60990
1125,01125,86226
1127,01127,54674
1129,01129,95404
1131,01131,119408
1133,01133,58061
2010,02010,#N/A
2020,02020,1092
2090,02090,4691
2110,02110,0
2122,02122,30765
4001,04001,5596936
4003,04003,915315
4005,04005,5814984
4007,04007,1187594
4009,04009,1251460
4011,04011,51870
4012,04012,#VALUE!
4013,04013,476887
4015,04015,1243785
4017,04017,4323820
4019,04019,#VALUE!
4021,04021,1174475
4023,04023,214532
4025,04025,826648
4027,04027,215267
5001,05001,401849
5003,05003,111338
5005,05005,91868
5007,05007,304829
5009,05009,257143
5011,05011,19529
5013,05013,13678
5015,05015,256420
5017,05017,289487
5019,05019,90349
5021,05021,331500
5023,05023,157349
5025,05025,27163
5027,05027,45591
5029,05029,179195
5031,05031,337687
5033,05033,124860
5035,05035,338271
5037,05037,278900
5039,05039,21356
5041,05041,266942
5043,05043,129886
5045,05045,184950
5047,05047,159764
5049,05049,204547
5051,05051,35567
5053,05053,64697
5055,05055,260283
5057,05057,196488
5059,05059,68509
5061,05061,146906
5063,05063,247888
5065,05065,172408
5067,05067,307123
5069,05069,291190
5071,05071,118252
5073,05073,115295
5075,05075,252715
5077,05077,260718
5079,05079,199826
5081,05081,171691
5083,05083,197594
5085,05085,338950
5087,05087,269630
5089,05089,136774
5091,05091,163750
5093,05093,475503
5095,05095,268112
5097,05097,74367
5099,05099,66825
5101,05101,114007
5103,05103,25794
5105,05105,70247
5107,05107,352108
5109,05109,69960
5111,05111,385369
5113,05113,118566
5115,05115,153924
5117,05117,275326
5119,05119,84027
5121,05121,210386
5123,05123,299830
5125,05125,44918
5127,05127,100509
5129,05129,168815
5131,05131,118804
5133,05133,129121
5135,05135,158215
5137,05137,135058
5139,05139,42566
5141,05141,123096
5143,05143,311677
5145,05145,355737
5147,05147,274138
5149,05149,160132
6001,06001,177425
6003,06003,#VALUE!
6005,06005,155254
6007,06007,381232
6009,06009,212163
6011,06011,452920
6013,06013,127588
6015,06015,#VALUE!
6017,06017,127883
6019,06019,1719745
6021,06021,668544
6023,06023,593726
6025,06025,515891
6027,06027,332306
6029,06029,2331673
6031,06031,673148
6033,06033,150379
6035,06035,482455
6037,06037,90903
6039,06039,653756
6041,06041,170876
6043,06043,283740
6045,06045,769715
6047,06047,978442
6049,06049,523730
6051,06051,56589
6053,06053,1268143
6055,06055,253354
6057,06057,42295
6059,06059,60740
6061,06061,90952
6063,06063,174834
6065,06065,345908
6067,06067,247010
6069,06069,604340
6071,06071,77020
6073,06073,220838
6075,06075,0
6077,06077,787740
6079,06079,1339256
6081,06081,48229
6083,06083,700197
6085,06085,229731
6087,06087,100001
6089,06089,376935
6091,06091,39042
6093,06093,723313
6095,06095,407066
6097,06097,590000
6099,06099,768826
6101,06101,375142
6103,06103,617195
6105,06105,174987
6107,06107,1238103
6109,06109,88125
6111,06111,280723
6113,06113,461114
6115,06115,187683
8001,08001,690277
8003,08003,182205
8005,08005,283425
8007,08007,209967
8009,08009,1502743
8011,08011,726175
8013,08013,132954
8014,08014,11174
8015,08015,77830
8017,08017,977624
8019,08019,8347
8021,08021,257897
8023,08023,376331
8025,08025,499922
8027,08027,188615
8029,08029,250720
8031,08031,98
8033,08033,159819
8035,08035,200031
8037,08037,129369
8039,08039,1043578
8041,08041,649283
8043,08043,290427
8045,08045,311260
8047,08047,5756
8049,08049,226890
8051,08051,190720
8053,08053,10010
8055,08055,580408
8057,08057,341851
8059,08059,68476
8061,08061,1113294
8063,08063,1377393
8065,08065,12061
8067,08067,589396
8069,08069,450211
8071,08071,2141329
8073,08073,1473194
8075,08075,1099040
8077,08077,387754
8079,08079,6726
8081,08081,928916
8083,08083,690945
8085,08085,329867
8087,08087,647413
8089,08089,706790
8091,08091,81456
8093,08093,179724
8095,08095,436311
8097,08097,32305
8099,08099,1022359
8101,08101,894899
8103,08103,507109
8105,08105,185601
8107,08107,612235
8109,08109,310266
8111,08111,0
8113,08113,126820
8115,08115,336014
8117,08117,25307
8119,08119,70945
8121,08121,1216737
8123,08123,1956648
8125,08125,1352813
9001,09001,53997
9003,09003,54106
9005,09005,90723
9007,09007,24108
9009,09009,42170
9011,09011,65131
9013,09013,47798
9015,09015,58095
10001,10001,172238
10003,10003,64118
10005,10005,271997
12001,12001,188173
12003,12003,32960
12005,12005,10679
12007,12007,34993
