geoid,st_fip,co_fip,st_abbr,st_name,co_name,aland_m2,aland_ac,1995,2000,2001,2002,2003,2004,2005,2010,2015
01001,1,1,AL,Alabama,Autauga,1539614693,380446.7397,636.9,6856.2,6079.2,7710.5,5325.4,4318.7,5242.7,8398.6,6211
01003,1,3,AL,Alabama,Baldwin,4117605847,1017481.664,1873,24680,36063.2,16745.4,25650.1,16300.7,15627.6,26965.6,68745.9
01005,1,5,AL,Alabama,Barbour,2292144656,566400.7789,830.7,3230.7,3757,5199.1,4080.5,5051.7,5495,11627.7,7495.1
01007,1,7,AL,Alabama,Bibb,1612165763,398374.4837,10,150.3,80,269.3,194.5,354.4,179.9,37.2,209.2
01009,1,9,AL,Alabama,Blount,1670079465,412685.2584,2462.2,2358.3,2947.8,3388.9,2885.5,2542.8,3133.7,4720.1,9828
01011,1,11,AL,Alabama,Bullock,1613059168,398595.2487,257.4,1522.3,2103.8,1818.9,1381.7,1305.2,1291,1197,3597.7
01013,1,13,AL,Alabama,Butler,2011985458,497171.9946,107,2103.3,3016.3,2844.7,4569.3,2973.7,2788.4,1352.3,3280.8
01015,1,15,AL,Alabama,Calhoun,1569244078,387768.3137,827.6,3299.2,4523.4,3157.3,4594.7,3402.3,4042.8,6274.6,11849
01017,1,17,AL,Alabama,Chambers,1545009122,381779.731,69.2,373.7,106.7,637.9,364.8,873.5,416.7,93.2,362.7
01019,1,19,AL,Alabama,Cherokee,1434228753,354405.3298,2171.4,12172.8,22342,16994.1,9724.4,16680.3,18241.7,30028.6,52084.6
01021,1,21,AL,Alabama,Chilton,1794478905,443425.0023,465.6,2935,2517.3,4236.6,2713,1802.6,4693,836.1,1650.6
01023,1,23,AL,Alabama,Choctaw,2365869837,584618.6517,13.9,612.5,700.7,716.1,572.9,482,242.4,963,2127.3
01025,1,25,AL,Alabama,Clarke,3207494103,792588.3532,17.3,624.2,1255.6,1608.1,1460.3,1462.1,1199.5,170.5,252.4
01027,1,27,AL,Alabama,Clay,1564253513,386535.1193,7.8,346.3,119.6,699.5,96.3,993.9,292.7,33.2,147.8
01029,1,29,AL,Alabama,Cleburne,1450663938,358466.5489,210.4,581.8,369.3,522.3,446.3,313.4,455,301.5,1270.9
01031,1,31,AL,Alabama,Coffee,1758565927,434550.7201,1297.1,6864.7,9926.1,9270,15182.4,16151.8,14080.7,31470.3,18134.9
01033,1,33,AL,Alabama,Colbert,1534875463,379275.6515,1818.7,23218.9,25658.3,31136.3,24327.2,25868.5,25152.7,36616.9,38424.6
01035,1,35,AL,Alabama,Conecuh,2201948618,544112.8722,60.9,4633.3,5438.7,3052.2,7817,5088.1,5901.3,5476.6,10408.3
01037,1,37,AL,Alabama,Coosa,1685850816,416582.4407,14.1,134.2,56,216.6,49.9,309.5,163,11.4,48.3
01039,1,39,AL,Alabama,Covington,2668871125,659491.8344,740,8594.6,9240.1,8994.8,11881.9,12003.8,12377.4,24391.1,17132.4
01041,1,41,AL,Alabama,Crenshaw,1576952826,389673.1851,346.4,1633.3,2150.5,1983.2,2245.7,2453.3,2648.2,3257.5,1962.6
01043,1,43,AL,Alabama,Cullman,1903070708,470258.5975,1061.2,5197.6,4047.3,4382.6,4043.1,2629.5,3842.4,8083.9,14335.4
01045,1,45,AL,Alabama,Dale,1453311031,359120.6592,837,2158.9,6529.8,6860.7,7806.2,7893.5,8003.5,17497.8,12743
01047,1,47,AL,Alabama,Dallas,2534863481,626377.8537,999.9,14135,11033.8,12323.6,9684.6,7859.2,8712.2,11834.9,20160.2
01049,1,49,AL,Alabama,DeKalb,2012676476,497342.7487,1424.9,6161.9,7233.8,8494.4,7057.8,5554.2,9325.3,17775.1,35441.1
01051,1,51,AL,Alabama,Elmore,1601762124,395803.6908,596.1,11577.6,8523.2,11972.3,8564.2,6735,7906.5,13320,9646.4
01053,1,53,AL,Alabama,Escambia,2447822304,604869.5295,433.6,24387.4,25140.9,12796.6,24741.5,18120.8,14777.4,28283.8,44566.7
01055,1,55,AL,Alabama,Etowah,1386383039,342582.4069,557,2852.5,5008.8,4208.9,2844,2995.9,4607.1,7797.2,14433.2
01057,1,57,AL,Alabama,Fayette,1625693280,401717.203,100.8,4150,3083.3,2424.9,3805.5,2336.5,4336.3,1889.2,7872.4
01059,1,59,AL,Alabama,Franklin,1641839976,405707.1349,241.6,2342.3,2812.1,3542.3,3192.8,2217.7,2382.9,5409.9,6107.7
01061,1,61,AL,Alabama,Geneva,1487870866,367660.5729,1824.7,8502.7,13841.9,13259.5,16090.3,19026.4,19213.1,43913.3,23550
01063,1,63,AL,Alabama,Greene,1675782063,414094.3999,144.3,2045.9,1075.6,1224.8,588.2,1186.2,1617,288.4,3482
01065,1,65,AL,Alabama,Hale,1667907107,412148.4576,272.2,2703.2,1806.2,2674.3,1725.9,2622.3,3361.9,2500.3,7337.6
01067,1,67,AL,Alabama,Henry,1454926615,359519.8784,1714.6,4682.4,12634.3,12131.6,14912,15920.1,16110.8,33802.2,21532.1
01069,1,69,AL,Alabama,Houston,1501807104,371104.2893,2915.6,12353.5,17020.2,16152.4,18205.9,20713.8,23122.8,47286,28419.7
01071,1,71,AL,Alabama,Jackson,2791974087,689911.2119,4525.6,14163.6,16301,14078.8,16802.4,16629.5,20829.9,36420,71945.9
01073,1,73,AL,Alabama,Jefferson,2877921069,711149.1549,15.9,96.6,44.3,338.2,23.1,415.9,122.9,83.2,363.6
01075,1,75,AL,Alabama,Lamar,1566544636,387101.2676,76.3,2398,1980.7,1891.2,1691,1027.4,2509.8,111.8,491
01077,1,77,AL,Alabama,Lauderdale,1730742958,427675.5208,1559,22440.8,24882.6,36867.5,24091.2,25111.2,27675.5,46176.9,48021.6
01079,1,79,AL,Alabama,Lawrence,1788859207,442036.346,2402.7,31653.8,35559.1,50955.8,32496.4,34613.3,35841.1,53716.6,60219.2
01081,1,81,AL,Alabama,Lee,1573550101,388832.3542,140.5,2730.3,1848.5,2160.4,2976.3,1787.9,1105.3,627.5,2412.2
01083,1,83,AL,Alabama,Limestone,1450278151,358371.2189,3601.7,58578.5,58019.4,80945.9,56495.1,55987.8,61976,77113.9,91500.1
01085,1,85,AL,Alabama,Lowndes,1854201380,458182.7343,406.6,5930.8,4486.3,7923.6,2388.3,2866.4,2474.7,2158,9688.5
01087,1,87,AL,Alabama,Macon,1576801788,389635.8629,330.5,4874.5,4609.8,5566.4,4463.8,4136.3,4421.8,4837.2,5049.9
