fip,Tow_4-D,ATRAZINE,CHLORIMURON,DICAMBA,FOMESAFEN,GLYPHOSATE,PARAQUAT
01001,2199.1,370.4,0.5,117.5,10.1,6856.2,371.5
01003,10681.3,14301.6,24.3,155.4,132,24680,1713.7
01005,1635.8,3052.8,1,255.1,3.7,3230.7,398.1
01007,70.5,111.7,,21.2,,150.3,12.1
01009,5705.7,1680.9,0.5,66.9,30.9,2358.3,309.3
01011,1726.7,119.2,0.3,148.2,4.8,1522.3,90.8
01013,281.6,979.1,1.6,36.4,9.1,2103.3,144.5
01015,2557.7,1156.2,0.7,30.5,40.1,3299.2,357.5
01017,237.8,138.7,,53.8,,373.7,21.9
01019,2461.2,1904.7,1.8,30.2,108,12172.8,2442.4
01021,244.1,792.3,0.7,54.5,16.5,2935,1236.1
01023,79.8,601.7,,21.8,1,612.5,61.7
01025,81.9,992.8,,22.7,0.3,624.2,82.4
01027,183.6,291.1,,55.4,,346.3,20.7
01029,1661.1,405.8,0.4,18.9,21.6,581.8,11.3
01031,1670.9,3828.1,2.1,232.7,9.6,6864.7,658.1
01033,372.9,897.5,0.3,3171.1,42.4,23218.9,543.6
01035,924.4,3905.9,1.5,42.5,9.2,4633.3,384.6
01037,59.2,119.5,,17.6,,134.2,20.8
01039,1913.1,2925.8,1.6,296.7,7.8,8594.6,577.6
01041,1459.3,3373.1,1,227.8,4.5,1633.3,185.7
01043,9468.2,3155.3,1.5,111.2,86.4,5197.6,354.3
01045,1021.8,1200.6,0.8,142.6,3.2,2158.9,333.4
01047,4003,522.3,1.9,276.3,37.2,14135,566.8
01049,8035.5,10520.6,4.5,117.1,271.6,6161.9,286.7
01051,1835.1,442.7,0.8,105,15.6,11577.6,454.4
01053,5681.3,7176.3,2.9,84.4,15.2,24387.4,1398
01055,3669.4,1417.5,0.5,43.9,30.9,2852.5,540.2
01057,127,2777.6,0.6,33.3,15.3,4150,143.8
01059,360.5,276.1,0.2,190.4,24,2342.3,187.6
01061,2628,5566.8,2.3,356.7,10.6,8502.7,979.5
01063,1754.6,189.7,1.2,151.5,23.5,2045.9,137.4
01065,2930,357,1.2,251.9,24.5,2703.2,223
01067,1907.8,4642.8,1.2,209.3,3.9,4682.4,722
01069,2064.9,4961.4,3,221,12.9,12353.5,1603
01071,6106.6,18449,13.4,113.9,802.4,14163.6,695.3
01073,80.6,37.3,,23.9,,96.6,4.4
01075,159.3,1021.3,1.1,22.8,26,2398,81.3
01077,1002.9,919.2,0.7,2622.8,92.5,22440.8,688
01079,640.4,1232.4,0.4,4367.2,49.4,31653.8,731.9
01081,189.1,348.7,,35.8,,2730.3,83.6
01083,1481.9,847.3,1.1,7764.1,145.1,58578.5,836.7
01085,5058.9,403.9,0.8,400.7,15.9,5930.8,314.7
01087,1595.2,246.8,0.5,112.1,9,4874.5,231
01089,1695.5,1514.9,2.3,5059.8,312.4,48725.5,1484.6
01091,3341.1,285.7,1.2,250.4,24.5,5777.3,253.4
01093,232.6,357.4,0.2,171.5,30.4,2667.9,238.2
01095,6429.3,4588.2,2.7,82.2,160.5,4067.8,168.8
01097,582.7,4080.4,2,52.8,11.6,9787.6,720
01099,1055.3,1530.4,1.5,38.8,8.5,20903.8,1112.9
01101,3359.4,135.1,0.6,289.7,11.4,2297.5,113.2
